Date,Open,High,Low,Close,Adj Close,Volume
10/4/2018,285.269989,286.25,276.179993,279.290009,278.723572,9780500
10/5/2018,278.290009,280.799988,267.540009,269.859985,269.312683,10665900
10/8/2018,266.5,271.160004,260.079987,265.769989,265.230988,10215300
10/9/2018,264.940002,268.76001,262.799988,265.540009,265.001495,6837500
10/10/2018,261.26001,263.109985,245.600006,245.690002,245.191711,17123500
10/11/2018,242.169998,247.559998,234.259995,235.130005,234.653137,18135900
10/12/2018,245.509995,249.539993,239.649994,246.539993,246.039993,15205900
10/15/2018,246,246,235.339996,235.380005,234.902634,11244000
10/16/2018,239.929993,246.279999,237.940002,245.830002,245.331436,10217800
10/17/2018,248.339996,249.880005,241.080002,243.059998,242.567047,8241700
10/18/2018,245.860001,247.410004,237.089996,239.529999,239.044205,13100500
10/19/2018,241.759995,242.550003,227.699997,229.169998,228.705231,15340200
10/22/2018,231.279999,235.320007,227.070007,231.220001,230.751068,9221100
10/23/2018,220.429993,224.190002,216.710007,221.059998,220.611664,15660900
10/24/2018,219.509995,221.389999,198.850006,199.410004,199.005585,22107200
10/25/2018,195.470001,209.75,193.679993,207.839996,207.418488,23793000
10/26/2018,198.309998,204.839996,193.119995,198.289993,197.887833,16619600
10/29/2018,203.990005,204.130005,176.009995,185.619995,185.24353,18950400
10/30/2018,186.550003,203.399994,185.619995,203,202.588303,20179800
10/31/2018,209.649994,212.589996,204.009995,210.830002,210.40242,18644300
11/1/2018,212.300003,218.490005,207.190002,218.110001,217.667648,14163200
11/2/2018,217.729996,222,210.210007,214.919998,214.484116,11324000
11/5/2018,214.389999,215.330002,205.279999,211.770004,211.340515,9483300
11/6/2018,211.449997,214.850006,209.559998,211.059998,210.631943,7475300
11/7/2018,213.75,217.410004,211.179993,213.789993,213.3564,12095300
11/8/2018,211.399994,211.429993,203.830002,205.990005,205.572235,12783800
11/9/2018,202.399994,209.320007,201.039993,205.669998,205.252884,10331000
11/12/2018,201.979996,202.869995,188.660004,189.539993,189.155594,15427900
11/13/2018,193.490005,204.210007,193.240005,199.309998,198.905777,16117800
11/14/2018,206.300003,206.880005,192.830002,197.190002,196.790085,13164500
